Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,19793,Al Smith's Feasting Fox,4200 S GRAND,St Louis,MO,63111,352-3500,,Permitted
FoodFacility,Active,Permitted,16742,Alan Blest Amvet Post #6,2718 CLIFTON,St Louis,MO,63139,781-4071,,Permitted
FoodFacility,Active,Permitted,11000009,Aldi Inc #19,6601 GRAVOIS,St Louis,MO,63116,752-1012,,Permitted
FoodFacility,Active,Permitted,11000010,Aldi Inc #48,3616 Natural Bridge,St Louis,MO,63106,678-3095,,Permitted
FoodFacility,Active,Permitted,11000012,Aldi Inc #57,3721 S Grand,St Louis,MO,63118,664-5303,,Permitted
FoodFacility,Active,Permitted,MWIS-95HS93,ALDI's,702 N Kingshighway,SAINT LOUIS,MO,63108,,,Permitted
FoodFacility,Active,Permitted,MWIS-95HS93,ALDI's,702 N Kingshighway,SAINT LOUIS,MO,63108,,,Permitted
FoodFacility,Active,Permitted,19005,Alexian Bros Lansdowne Village,4624 Lansdowne,St Louis,MO,63116,351-6888,,Permitted
FoodFacility,Active,Permitted,35584,Alexian Brothers Comm Services,3900 S GRAND,St Louis,MO,63118,771-5800,,Permitted
FoodFacility,Active,Permitted,1201184,Alhuda Intl Mkt,4743 MORGANFORD,St Louis,MO,63116,546-0202,,Permitted
FoodFacility,Active,Permitted,1200970,Ali Market,5870 Martin Luther King,St Louis,MO,63112,381-2588,,Permitted
FoodFacility,Active,Permitted,700047,Ali Market Inc,5870 Martin Luther King,St Louis,MO,63112,381-2588,,Permitted
FoodFacility,Active,Permitted,36071,All Ways Kare Residential,5076 Waterman,St Louis,MO,63112,367-9516,,Permitted
FoodFacility,Active,Permitted,38191,Almost Home Inc,3200 St Vincent Ave,St Louis,MO,63104,771-4663,,Permitted
FoodFacility,Active,Permitted,MWHN-9CZS5M,Al-Mustafa Supermarket,4656 Gravois,St Louis,MO,63116,481-110,,Permitted
FoodFacility,Active,Permitted,MWHN-9EGN8K,AL-NOOR RESTAURANT,3819 Meramec,St Louis,MO,63116,,,Permitted
FoodFacility,Active,Permitted,MWHN-96ELVE,Alpha Brewing,1409 Washington Ave,SAINT LOUIS,MO,63103,621-2337,,Permitted
